pair_group,x,y,overall_r,overall_p,genre_r_mean,genre_r_std,genre_r_min,genre_r_min_genre,genre_r_max,genre_r_max_genre,n_sign_flip,n_genres
1x2,time_signature,danceability,0.20721902810732892,0.0,0.12891682611063618,0.08777035447361244,-0.1447116550752464,dancehall,0.48846480564595335,sleep,5,114
1x2,loudness,liveness,0.07689733278564446,4.74584507040826e-149,0.07635374618132966,0.08574913139374084,-0.23248152766660604,cantopop,0.39155766251469515,sleep,14,114
1x2,time_signature,acousticness,-0.17614150321971267,0.0,-0.0894469422974768,0.08500323943785623,-0.34601979586408194,pop,0.18738700963777466,sleep,16,114
1x2,tempo,acousticness,-0.2082309388837037,0.0,-0.109284047975174,0.08404258496437937,-0.3487706656272186,iranian,0.164247176233283,sleep,11,114
1x2,tempo,instrumentalness,-0.05032818418869621,7.767098609465935e-65,-0.008742019497888793,0.08015717460216155,-0.30731344198807387,world-music,0.2567427947205223,trance,56,114
1x2,mode,acousticness,0.09556763064986337,1.8631344456975642e-229,0.039112507505388236,0.07849717688551655,-0.15949665558370074,j-rock,0.20951885260078412,opera,36,114
1x2,mode,speechiness,-0.04653474391760144,1.0995419138968396e-55,-0.0332646825681965,0.07792034622483032,-0.21412132723631205,brazil,0.2122892685011306,turkish,37,114
1x2,mode,danceability,-0.06922424421606833,4.222863031979217e-121,-0.029226120424572358,0.07725339646257304,-0.31797455562040683,groove,0.1934708849265028,turkish,37,114
1x2,time_signature,valence,0.13368462513218726,0.0,0.08605550316618321,0.07713852638514315,-0.10145004904002229,dancehall,0.32136764688026714,rockabilly,8,114
2x3,liveness,popularity,-0.005396753083609535,0.06843391924608516,-0.023674522601475012,0.07538578889293912,-0.40481989419203995,comedy,0.20114504920519122,pagode,43,114
1x2,mode,energy,-0.07836515946353965,9.8285484522266e-155,-0.03207638949762736,0.07536869653906224,-0.21334542323694886,pop,0.12752026202588185,hardcore,42,114
1x3,mode,popularity,-0.013948367242907454,2.481210973442748e-06,-0.018066673831277583,0.06547740111819585,-0.22345139712592116,jazz,0.17953959890542137,world-music,39,114
1x2,time_signature,speechiness,-1.0676654782975498e-05,0.9971237933886096,0.025030301675753194,0.0650741061240294,-0.16502624413987865,comedy,0.3020852717997661,sleep,73,114
1x2,mode,valence,0.021964454390540882,1.1995298091333049e-13,0.0029053986262811415,0.06240939055052319,-0.20176795762929814,brazil,0.15261383275443918,sleep,55,114
1x3,tempo,popularity,0.013211888443029748,8.158830984776987e-06,0.0036096136595139276,0.06238151083245105,-0.14750572142324347,sleep,0.1985116856283959,world-music,51,114
1x2,mode,instrumentalness,-0.049960761181781915,6.424960462297797e-64,-0.017981191186292066,0.06084581212802597,-0.23573112829418974,world-music,0.1120868950368677,new-age,50,114
1x2,time_signature,instrumentalness,-0.0825795343381327,1.174952848845344e-171,-0.02103002494417715,0.05540154237838493,-0.297144121193194,german,0.08265162164136405,sleep,51,114
1x2,tempo,liveness,0.00060323611790912,0.8386091621639095,0.004345136409942573,0.05524491020907078,-0.2644114379859723,comedy,0.16207492284224753,techno,54,114
1x3,time_signature,popularity,0.031075967793414677,9.124398080170683e-26,0.017310335298572253,0.05240526314424041,-0.16017431510762994,rockabilly,0.16617677298723796,j-pop,40,114
1x2,key,speechiness,0.020418643358740378,5.396326814760808e-12,0.03330658159459568,0.04946986442937219,-0.06807525812409806,jazz,0.18675637553112123,rock-n-roll,27,114
1x3,key,popularity,-0.0038469873002555856,0.1939860499579419,-0.004254267222692974,0.04770738583795178,-0.1966011809767273,psych-rock,0.11532305750445455,soul,55,114
1x2,key,danceability,0.03647040820749172,7.270729365699943e-35,0.023175789394125863,0.04713168120065421,-0.11399181272417891,honky-tonk,0.1592816954227847,jazz,34,114
1x2,key,valence,0.03409916098268956,1.0910652968690933e-30,0.03268645564863503,0.04626614378188544,-0.0877083511358796,samba,0.17727072086709977,blues,27,114
1x2,mode,liveness,0.014003846849007833,2.26293648465252e-06,-0.003842093876956514,0.046114710701990864,-0.21050047640104616,sleep,0.09940120444985147,death-metal,57,114
1x2,key,energy,0.04800664233414214,3.7618920697642867e-59,0.028758837388471,0.04486621947889272,-0.08262578927404758,dub,0.15831201759991095,jazz,25,114
1x2,time_signature,liveness,-0.02364920069108959,1.3951954893330805e-15,0.004118991141758736,0.044801518105378524,-0.17579136501421638,pop,0.12285491317485096,r-n-b,68,114
1x2,key,acousticness,-0.04094204095670767,1.69875902359641e-43,-0.013677997401556766,0.042944918917560526,-0.11799878504763321,j-pop,0.08726252873113792,reggae,37,114
1x2,key,instrumentalness,-0.0068208666512110435,0.021279907870835977,-0.007625618064578118,0.039285865086980724,-0.11654127427708737,latino,0.08425245559220303,children,47,114
1x2,key,liveness,-0.0015970016324854132,0.5897475649981193,-0.0019410216225577625,0.039280525062152225,-0.08012850943147748,garage,0.10377209485056925,blues,52,114
