band,idx,song,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt,mode_score,key,voiced_frac_mix,acousticness_proxy,instrumentalness_proxy,energy_proxy
ave_mujica,87,Symbol III : ▽,256.9,0.92432,1715.87635,3501.89549,0.00601,25.22457,1.25304,0.0745,0.28291,95.70312,0.0158,Gmaj,0.68111,4.828221267837721,-1.5769623928492773,3.5718531080831655
ave_mujica,88,Symbol IV : Earth,239.1,0.81247,2615.28748,5538.82206,0.03207,21.61866,1.14716,0.11342,0.40146,99.38401,-0.00241,Cmin,0.43963,0.9091104034533646,-0.1487653854580317,-0.0009985134350405378
ave_mujica,89,Ether,285.7,0.81985,2790.28091,5787.14278,0.04019,21.71198,1.17391,0.12427,0.39528,123.04688,0.00821,C#maj,0.61558,0.22837121424344486,-1.1893950999291667,0.22590091125763712
ave_mujica,90,The Whole Blue World,257.3,0.81903,2375.16685,4998.41978,0.02557,20.97495,1.41797,0.09607,0.32701,99.38401,0.04929,C#maj,0.81166,1.6135791396453645,-2.349080660676539,-0.012346330877158529
ave_mujica,91,in your blue eyes,222.8,0.82271,2207.71891,4674.99395,0.01485,22.75139,1.14969,0.08717,0.31821,143.55469,-0.08697,Dmin,0.6419,2.6840570621851025,-1.3450607667940733,0.0919970374258221
ave_mujica,92,素晴らしき世界 でも どこにもない場所,269.5,0.7425,2485.87261,5212.11848,0.02585,22.08383,1.26414,0.10884,0.33219,135.99918,-0.02895,Cmin,0.35965,0.6075330607873741,0.324264251162607,0.3424554326591437
ave_mujica,93,Angles,275.1,0.8418,2396.37529,5309.55678,0.01863,22.32362,1.11442,0.08598,0.36688,129.19922,0.12882,Bmaj,0.63003,2.5674837561245916,-1.2748574436296944,0.0839589823571687
ave_mujica,96,‘S/’ The Way,227.5,0.77194,2598.19936,5450.66704,0.03048,21.32868,1.15711,0.11346,0.41858,107.66602,-0.26254,Emin,0.52528,0.5422580766064067,-0.6553293811639292,-0.013799625438444041
ave_mujica,97,碧い瞳の中に,224.0,0.82118,2129.01784,4569.84459,0.01293,22.79025,1.15367,0.08063,0.27154,143.55469,-0.07472,Dmin,0.64499,2.847771584969421,-1.3633361053431823,-0.6256929975977467
ave_mujica,98,堕天 (Cover),183.8,0.66861,2770.27769,5949.2918,0.04266,21.41807,1.32603,0.12696,0.36218,103.35938,0.00832,Emaj,0.07327,-1.94276983058274,2.0180155306752168,0.4587296738185114
ave_mujica,99,KINGS (Cover),317.6,0.73014,2333.49743,4939.72013,0.02266,22.19521,1.33243,0.10261,0.37533,117.45384,-0.00536,G#min,0.09856,0.7539023227503854,1.8684416433266804,1.7639500317252148
ave_mujica,100,暗黒天国 (Cover),265.3,0.70036,2490.16237,5287.26803,0.02583,22.02311,1.36144,0.10516,0.3449,95.70312,-0.14905,Fmin,0.32611,0.07019803012031395,0.5226315181325524,1.24101726792847
hello_happy_world,106,キミがいなくちゃっ！,243.8,0.73866,2492.94018,5082.95815,0.02324,23.03091,1.28499,0.12024,0.2721,123.04688,0.20632,Dmaj,0.21672,0.8075586580775365,1.1696021601672069,0.7299240830180942
hello_happy_world,107,ハイファイブ∞あどべんちゃっ,272.4,0.73756,3047.24127,6335.28947,0.04881,22.14684,1.23242,0.16027,0.27314,99.38401,0.07927,D#maj,0.35552,-1.6475623504907138,0.34869051271853657,-0.8347695455217606
hello_happy_world,108,スマイルブーケで た〜まや〜！,272.0,0.82297,2490.27545,5355.18984,0.02023,23.42288,1.23179,0.10917,0.27713,151.99908,0.20707,Emaj,0.46594,2.173781438401298,-0.3043719088324879,0.9193972966183799
hello_happy_world,109,えがお･シング･あ･ソング,249.2,0.71135,2924.60973,5957.76953,0.0397,22.81436,1.32585,0.15557,0.26394,99.38401,-0.0363,G#min,0.32405,-1.113270641477236,0.534815077165292,0.6226768170502631
hello_happy_world,111,にこ×にこ=ハイパースマイルパワー！,233.3,0.69871,2932.15011,5965.63059,0.0392,22.06364,1.34062,0.14857,0.28244,95.70312,-0.10781,F#min,0.45666,-1.2272857546979394,-0.24948674969470927,0.06078952008180177
hello_happy_world,114,うぃーきゃん☆フレフレっ！,239.6,0.71428,2739.21259,5810.21487,0.03422,21.99819,1.20588,0.1296,0.27781,117.45384,-0.06407,F#min,0.43395,-0.5526276771605274,-0.11517188288232232,-1.159229008041208
hello_happy_world,115,えがおのオーケストラっ！,230.2,0.64186,2520.61077,5182.62977,0.02411,22.94225,1.31374,0.12073,0.19645,135.99918,0.22148,A#maj,0.51961,-0.5141968523876137,-0.6217950220786704,-0.45993237570102175
hello_happy_world,116,にこにこねくと！,250.6,0.78284,2437.56908,4996.06423,0.01822,23.88932,1.21728,0.11938,0.21679,112.34715,0.38142,Dmaj,0.5031,1.8521430889462254,-0.5241491193454026,0.3891832404930884
hello_happy_world,117,ふぁいぶスマイル◯オールインっ！,246.3,0.72327,2602.36722,5236.06834,0.02543,23.24586,1.28118,0.1381,0.25262,123.04688,0.14586,Amaj,0.49071,0.4015518249639003,-0.45087033467761417,0.6508709846007661
hello_happy_world,118,せかいのっびのびトレジャー！,212.7,0.62424,2441.87722,4933.93128,0.02543,22.0712,1.44782,0.1204,0.29672,112.34715,0.16992,Dmaj,0.30908,-0.865685157446535,0.6233528823692299,1.1541763055600913
hello_happy_world,119,きらっ☆と キミフェス！,231.1,0.5859,2866.53536,6055.46338,0.03644,22.76569,1.42421,0.13716,0.25306,129.19922,-0.197,G#min,0.12848,-2.4073745301699576,1.6914843198997047,1.1409685542266734
hello_happy_world,120,うちゃパ！で ぱっぴかポーんっ！,217.8,0.76027,2639.00658,5505.66115,0.03155,22.4167,1.27207,0.133,0.287,129.19922,0.34417,Cmaj,0.32714,0.29077521881652435,0.5165397386161826,0.07058560636582864
hello_happy_world,122,ふわふわ☆ゆめいろサンドイッチ,292.0,0.70826,2416.37622,5002.8253,0.01729,23.37177,1.39192,0.12693,0.23056,129.19922,0.24096,Fmaj,0.387,0.9865630547274429,0.1625068047813309,1.3055866136602288
hello_happy_world,123,Happy! Happier! Happiest!,242.9,0.62585,2695.52841,5284.75138,0.03611,21.89898,1.34381,0.14995,0.27543,86.13281,0.32718,Fmaj,0.13571,-1.8646510094966746,1.6487235763042154,-0.2526323016163897
hello_happy_world,124,現るっ！大怪盗ハロハッピー！,224.1,0.64122,2568.30845,5445.39485,0.02827,22.14259,1.41987,0.11276,0.29492,123.04688,-0.31182,Amin,0.41383,-0.9195217927758865,0.003824819903464927,0.9992783500904127
hello_happy_world,125,わちゃ・もちゃ・ぺったん行進曲,233.2,0.70906,2614.12658,5881.38666,0.02457,22.65708,1.39494,0.11155,0.27713,107.66602,0.11836,D#maj,0.64035,0.30181368104865225,-1.335893525774293,1.1808817561035452
hello_happy_world,126,おもいでイルミネーション,252.7,0.60518,3008.28753,6160.3683,0.04851,22.09498,1.27607,0.16298,0.28922,161.49902,0.1554,A#maj,0.24716,-3.3129229124844577,0.9895693752368214,-0.28631711967470114
hello_happy_world,127,おもいやりハーモニー,231.5,0.76189,2642.32623,5421.96721,0.02576,23.54174,1.31022,0.13177,0.23517,135.99918,0.20983,F#maj,0.45769,0.864248981943732,-0.25557852921107893,0.9708010655210197
hello_happy_world,128,ハピネスっ！ハピィーマジカルっ♪,210.6,0.70802,2871.20788,5696.38778,0.03528,22.97214,1.20087,0.16127,0.27914,92.28516,0.31752,Amaj,0.38854,-0.7339268406077982,0.15339870725200136,0.11481386311954389
hello_happy_world,129,えがお、あーゆーれでぃ???,226.3,0.7006,2761.41186,5697.34888,0.04085,22.25654,1.3564,0.13631,0.27406,135.99918,-0.02762,Bmin,0.11352,-1.3606179381588677,1.7799629816131923,0.296095312964727
hello_happy_world,130,ハッピーサマーウェディング,284.7,0.61388,2858.22991,5683.14897,0.03519,22.65957,1.3566,0.15838,0.29122,129.19922,0.35294,Amaj,0.24149,-1.9299970914503968,1.0231037343220803,1.1259127613091462
hello_happy_world,132,ハッピー☆マテリアル,225.0,0.65494,2863.85458,5900.26432,0.03527,22.36166,1.5319,0.13868,0.26702,107.66602,0.14696,D#maj,0.31785,-1.4122101875777826,0.5714840412444112,1.6873695854516502
hello_happy_world,133,太陽曰く燃えよカオス,239.2,0.67556,2602.04726,5625.14932,0.02687,22.05873,1.58346,0.1116,0.27285,143.55469,0.17858,Gmaj,0.48142,-0.3464388623189039,-0.39592603204938565,1.7892708407031412
hello_happy_world,134,エクストラ・マジック・アワー,255.3,0.77488,2822.00208,5797.70939,0.03455,22.56254,1.25128,0.13909,0.27503,117.45384,0.30726,D#maj,0.46027,0.1913364582438365,-0.27083754974722873,-0.10406436247558432
hello_happy_world,135,コレカラ,214.9,0.65314,2916.67524,6144.64618,0.03449,22.35599,1.31451,0.12692,0.27291,161.49902,0.19854,Amaj,0.4097,-1.3607810332556671,0.02825108145939419,0.0804859959627287
hello_happy_world,136,全力少年,241.8,0.64292,2724.9107,5670.14905,0.03103,22.65408,1.27605,0.12621,0.25548,135.99918,0.12296,Gmaj,0.36894,-1.161251669385294,0.26931994853437846,-0.12428221928537148
hello_happy_world,137,オレンジ,278.4,0.63436,2638.48845,5122.82458,0.02354,23.41938,1.43099,0.13411,0.21588,143.55469,0.3088,Fmaj,0.32559,-0.5557554138467428,0.5257069796359625,1.4225274098778773
hello_happy_world,138,Happy Girl,238.1,0.70863,2953.08846,6248.65666,0.0428,22.08009,1.36969,0.13584,0.26622,143.55469,-0.04513,C#min,0.53612,-1.4440191936712234,-0.7194409248119382,0.03181931267411553
hello_happy_world,139,ン・パカマーチ,156.0,0.69454,2603.5749,5256.22933,0.02654,22.8471,1.44059,0.13013,0.26746,117.45384,0.20593,Dmaj,0.31837,-0.07205785927812486,0.5684085797410015,1.6238867412591478
hello_happy_world,141,ボクらの夏's☆ショーたいむっ！！,206.8,0.73607,2611.61461,5419.86167,0.02419,22.31856,1.38925,0.12344,0.2888,117.45384,-0.13336,Dmin,0.5258,0.6837238050456864,-0.6584048426673397,0.8879778875794735
hello_happy_world,142,むすんでわらって,242.0,0.64579,2935.69627,6220.00128,0.03665,22.24971,1.35189,0.13465,0.23862,129.19922,0.04527,Cmaj,0.31011,-1.661040084219398,0.6172611028528603,-0.3559633405468433
hello_happy_world,143,キミを れっつ・はぶ・ふぁん♪,235.0,0.69725,2695.66732,5672.28237,0.02696,23.09896,1.37803,0.12453,0.30655,161.49902,0.10504,Emaj,0.50929,-0.07747473462723026,-0.5607589399340719,2.1385798237673592
hello_happy_world,144,らいふ・いず・みゅーじかるっ♪♪♪,237.7,0.72229,2774.67332,5458.81144,0.03129,23.32948,1.22532,0.15048,0.24276,135.99918,0.14836,Amaj,0.30547,-0.17041474400614645,0.6447036824217494,0.15565674796814188
hello_happy_world,145,れっつ・スマイル・すとり〜みんぐっ♪,227.6,0.77834,2682.00478,5743.71527,0.02719,22.21559,1.20665,0.12017,0.34883,151.99908,0.22176,Emaj,0.40248,0.9382361192328961,0.07095268156443311,0.3527022085184426
hello_happy_world,146,やっほー！いっぽ！わんだふぉー！,212.3,0.61638,2715.46479,5728.89314,0.03451,21.75165,1.46157,0.1313,0.30718,161.49902,0.43049,G#maj,0.23787,-1.8330895238668403,1.0445136778650501,1.017712324595088
hello_happy_world,147,とーくとぅみー・とーくとぅゆー,208.6,0.74656,2878.18918,6238.00117,0.03937,21.5355,1.20223,0.13107,0.35445,135.99918,-0.13105,Gmin,0.29979,-0.6312025110556502,0.6782971849974587,-0.48657365659103713
hello_happy_world,148,ハイタッチ／＼びりーばーず☆,254.4,0.66896,2813.51304,5989.24156,0.02705,23.17205,1.43375,0.1417,0.28846,112.34715,0.05275,Cmaj,0.32817,-0.44807946870344123,0.5104479590998127,2.3610370172229382
hello_happy_world,149,Listen to Smile!,244.2,0.76726,2352.42111,5028.74737,0.01856,23.05407,1.26449,0.10932,0.29845,129.19922,0.31604,Gmaj,0.44014,1.6203155198576542,-0.15178170347099124,1.0521191538078847
hello_happy_world,150,スマイリーキャロル,247.1,0.73556,2550.77831,5446.18929,0.0224,23.39436,1.22222,0.11639,0.27913,112.34715,0.15053,Fmaj,0.49536,0.8480802791099106,-0.4783720577369539,0.8410522108090457
hello_happy_world,151,えがお、み〜っけた！,270.2,0.63817,2577.90067,5143.19668,0.02663,22.8791,1.34912,0.12453,0.23134,143.55469,0.00611,Gmaj,0.22807,-0.8019881963643838,1.1024742985062386,0.33143362618212147
hello_happy_world,152,上海ハニー (Cover),178.2,0.61243,2914.55663,5943.42517,0.04731,22.12797,1.40985,0.15569,0.22174,129.19922,-0.04732,Amin,0.19195,-3.1055900918090305,1.3161005860123334,-0.3533735867946315
hello_happy_world,153,シル・ヴ・プレジデント (Cover),193.5,0.72703,3144.11734,6607.61004,0.04184,22.55033,1.60383,0.14004,0.23821,117.45384,0.17448,G#maj,0.33024,-1.1169170896263738,0.49820525657662307,2.005924921217975
hello_happy_world,154,ヒャダインのじょーじょーゆーじょー (Cover),251.1,0.6426,2690.11691,5531.53322,0.03691,22.0716,1.44975,0.13555,0.25688,99.38401,-0.08284,Amin,0.12436,-1.7266818548697924,1.715851437965184,0.4866169409324752
hello_happy_world,155,はいよろこんで (Cover),160.2,0.66215,2288.16827,4866.54835,0.01879,22.71584,1.58005,0.10106,0.26541,143.55469,-0.25355,C#min,0.54438,0.25331884948448524,-0.7682934479237967,2.5056454243122426
