band,idx,song,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt,mode_score,key,voiced_frac_mix,acousticness_proxy,instrumentalness_proxy,energy_proxy
afterglow,32,イマジネーション,178.0,0.62223,2677.33299,5794.26496,0.03108,21.67805,1.29334,0.12868,0.27178,135.99918,-0.03484,G#min,0.37255,-1.436329690041841,0.09140404683251298,-0.7851152361981296
afterglow,35,That's why I'm here.,261.9,0.65175,2373.50325,5077.60263,0.02285,21.05314,1.28743,0.10501,0.31867,123.04688,0.03619,Bmaj,0.33849,-0.32980271089428725,0.29155467012824793,-0.8786375403304473
afterglow,54,青のすみか (Cover),197.4,0.73919,2692.64442,5488.73903,0.0309,22.54585,1.27563,0.12389,0.26432,151.99908,0.19695,F#maj,0.56863,0.3090086361716712,-1.0608429941489235,0.154107328679201
afterglow,65,午夜の待ち合わせ (Cover),171.5,0.62115,2692.94257,5529.26101,0.03492,21.64433,1.23681,0.1349,0.28407,95.70312,-0.01643,G#min,0.5129,-1.7647883141380858,-0.7333505033599832,-1.0281839713844896
afterglow,71,I love your way！,263.7,0.67835,2683.89576,5523.2666,0.03329,21.45321,1.18536,0.13421,0.30806,129.19922,-0.07998,F#min,0.45614,-0.7857431629969596,-0.3998053072864093,-1.2491847871615818
ave_mujica,72,KiLLKiSS,208.8,0.72307,2478.96987,5098.44695,0.03219,21.39799,1.19894,0.12058,0.39788,135.99918,-0.23625,Emin,0.21517,-0.03449659275690198,1.0162339086728764,0.3260154067949307
ave_mujica,77,顔,242.2,0.73567,3101.57739,6533.9716,0.05348,20.98165,1.28647,0.14166,0.35327,143.55469,-0.15457,F#min,0.42724,-1.580510925745913,-0.2299769745428174,-0.3858827774586538
ave_mujica,78,天球のMúsica,280.3,0.84073,2586.92125,5396.53959,0.02926,23.26991,1.09411,0.11715,0.34405,129.19922,0.12481,Fmaj,0.39732,1.9449793326023328,-0.05415470064356923,1.2173197366618633
ave_mujica,79,黒のバースデイ,234.3,0.64108,2603.53508,5306.61791,0.03546,21.09535,1.42135,0.1219,0.36637,99.38401,-0.13868,D#min,0.28483,-1.5138204967609417,0.6068829862189449,0.9734478211564583
ave_mujica,80,ふたつの月 ~Deep Into The Forest~,304.9,0.74596,2693.70624,5421.53388,0.03466,21.80469,1.23766,0.12388,0.32307,117.45384,-0.15946,Emin,0.28483,0.10321868103217319,0.6068829862189449,-0.1266172401513324
ave_mujica,83,Mas?uerade Rhapsody Re?uest,249.8,0.72291,2513.21439,5033.58623,0.0307,21.24537,1.24518,0.12225,0.3727,95.70312,-0.04066,G#min,0.27193,0.08438364102217455,0.6826887125993027,0.01484866444210134
ave_mujica,85,Symbol I : △,312.2,0.80834,2754.60497,5743.26527,0.03961,21.72739,1.15554,0.1289,0.43492,117.45384,-0.07241,F#min,0.23736,0.6234704851581642,0.8858363064728659,1.106515854041609
ave_mujica,86,Symbol II : Air,212.8,0.68485,2939.43644,6207.14024,0.05272,20.91981,1.24081,0.13847,0.41544,99.38401,-0.10902,Emin,0.26006,-2.2706646457535835,0.7524417336950271,0.27340581125328145
ave_mujica,89,Ether,285.7,0.81985,2790.28091,5787.14278,0.04019,21.71198,1.17391,0.12427,0.39528,123.04688,0.00821,C#maj,0.61558,0.7465901532512401,-1.3367405796960394,0.5328022537882409
ave_mujica,91,in your blue eyes,222.8,0.82271,2207.71891,4674.99395,0.01485,22.75139,1.14969,0.08717,0.31821,143.55469,-0.08697,Dmin,0.6419,2.850936744671889,-1.49140776716356,0.45789164737578325
ave_mujica,92,素晴らしき世界 でも どこにもない場所,269.5,0.7425,2485.87261,5212.11848,0.02585,22.08383,1.26414,0.10884,0.33219,135.99918,-0.02895,Cmin,0.35965,0.7689281936710218,0.16720977321287045,0.6075290968604791
ave_mujica,94,DIVINE,257.6,0.75144,2753.74164,5700.50442,0.04146,21.06729,1.16243,0.12811,0.40105,117.45384,-0.22354,F#min,0.33849,-0.36903783897116454,0.29155467012824793,-0.3392926536739306
ave_mujica,96,‘S/’ The Way,227.5,0.77194,2598.19936,5450.66704,0.03048,21.32868,1.15711,0.11346,0.41858,107.66602,-0.26254,Emin,0.52528,0.8277970886188072,-0.8061004950335354,0.2856745162153935
ave_mujica,98,堕天 (Cover),183.8,0.66861,2770.27769,5949.2918,0.04266,21.41807,1.32603,0.12696,0.36218,103.35938,0.00832,Emaj,0.07327,-1.6923465356105238,1.850096898856811,0.6561174731678168
ave_mujica,99,KINGS (Cover),317.6,0.73014,2333.49743,4939.72013,0.02266,22.19521,1.33243,0.10261,0.37533,117.45384,-0.00536,G#min,0.09856,0.8456179157722512,1.7014824166739237,2.0011904348964307
hello_happy_world,112,ないすみちゅっ！,257.2,0.67794,2864.51602,5788.12056,0.03773,22.18315,1.37226,0.14567,0.25073,117.45384,-0.09359,A#min,0.51703,-1.1531122208194167,-0.7576200886274929,0.118370656140661
hello_happy_world,117,ふぁいぶスマイル◯オールインっ！,246.3,0.72327,2602.36722,5236.06834,0.02543,23.24586,1.28118,0.1381,0.25262,123.04688,0.14586,Amaj,0.49071,0.51855355521716,-0.6029529011599724,0.9570206810966378
hello_happy_world,119,きらっ☆と キミフェス！,231.1,0.5859,2866.53536,6055.46338,0.03644,22.76569,1.42421,0.13716,0.25306,129.19922,-0.197,G#min,0.12848,-2.4100817881942667,1.5256601427746752,1.3377040406283909
hello_happy_world,122,ふわふわ☆ゆめいろサンドイッチ,292.0,0.70826,2416.37622,5002.8253,0.01729,23.37177,1.39192,0.12693,0.23056,129.19922,0.24096,Fmaj,0.387,0.9588335551376974,0.006489880460716881,1.5505501963435258
hello_happy_world,125,わちゃ・もちゃ・ぺったん行進曲,233.2,0.70906,2614.12658,5881.38666,0.02457,22.65708,1.39494,0.11155,0.27713,107.66602,0.11836,D#maj,0.64035,0.3782660278582836,-1.4822993271721212,1.3923446092822245
hello_happy_world,128,ハピネスっ！ハピィーマジカルっ♪,210.6,0.70802,2871.20788,5696.38778,0.03528,22.97214,1.20087,0.16127,0.27914,92.28516,0.31752,Amaj,0.38854,-0.5086425746810952,-0.0025597954017443384,0.4570427966457319
hello_happy_world,133,太陽曰く燃えよカオス,239.2,0.67556,2602.04726,5625.14932,0.02687,22.05873,1.58346,0.1116,0.27285,143.55469,0.17858,Gmaj,0.48142,-0.30460419286417306,-0.5483610253403196,1.857682356144894
hello_happy_world,141,ボクらの夏's☆ショーたいむっ！！,206.8,0.73607,2611.61461,5419.86167,0.02419,22.31856,1.38925,0.12344,0.2888,117.45384,-0.13336,Dmin,0.5258,0.8088630659889293,-0.8091562297403411,1.086258927604206
hello_happy_world,144,らいふ・いず・みゅーじかるっ♪♪♪,237.7,0.72229,2774.67332,5458.81144,0.03129,23.32948,1.22532,0.15048,0.24276,135.99918,0.14836,Amaj,0.30547,0.02719844789499229,0.4855938240103727,0.49757838095107465
hello_happy_world,149,Listen to Smile!,244.2,0.76726,2352.42111,5028.74737,0.01856,23.05407,1.26449,0.10932,0.29845,129.19922,0.31604,Gmaj,0.44014,1.7285281756835904,-0.3057827009231749,1.364270180594647
hello_happy_world,154,ヒャダインのじょーじょーゆーじょー (Cover),251.1,0.6426,2690.11691,5531.53322,0.03691,22.0716,1.44975,0.13555,0.25688,99.38401,-0.08284,Amin,0.12436,-1.609321442775015,1.5498709639132082,0.6316868229332226
hello_happy_world,160,新宝島 (Cover),251.2,0.63812,2920.98541,5993.14154,0.04303,22.88205,1.39181,0.15094,0.29441,161.49902,0.04558,Dmaj,0.28586,-2.173624396417884,0.6008302809343119,1.9786276775261622
hello_happy_world,167,恋愛裁判 (Cover),223.1,0.65633,2636.66502,5439.12267,0.03312,22.34822,1.40911,0.13452,0.24417,135.99918,0.05524,Emaj,0.27503,-1.0977458288384794,0.6644718326164262,0.49918169852367267
hello_happy_world,176,SHINY DAYS (Cover),262.6,0.64255,2578.75517,5250.19048,0.02566,23.10115,1.38603,0.12688,0.26479,112.34715,0.04304,F#maj,0.4128,-0.6945997297063783,-0.1451215722999984,1.7267051683322494
hello_happy_world,177,シルエット (Cover),241.0,0.69112,2699.45197,5434.51714,0.03538,21.73605,1.18638,0.13712,0.30216,92.28516,0.10466,D#maj,0.61404,-0.76685419784819,-1.3276909038335782,-0.9538882897779941
ikka_dumb_rock,178,ホーミー・タイッ！！,215.4,0.69565,2919.50317,5731.94312,0.04457,21.4898,1.25101,0.15815,0.35494,129.19922,-0.08529,Dmin,0.39783,-1.4476528688081398,-0.05715167122139739,0.08693189507318644
millsage,179,起死開戦,195.3,0.70511,2484.23937,5533.77765,0.02707,21.46811,1.20849,0.10566,0.335,112.34715,-0.01248,C#min,0.17595,0.1163808295314997,1.2467068225207547,-0.5954480598718601
morfonica,182,flame of hope,252.9,0.82429,2897.85407,5840.20357,0.03765,22.05393,1.24402,0.13308,0.30049,129.19922,-0.05164,Amin,0.23323,1.0189809977677304,0.9101058917403758,-0.12740882630119246
morfonica,184,カラフルリバティー,218.8,0.85073,2837.09175,5926.86972,0.02474,22.37545,1.30921,0.11047,0.30102,92.28516,-0.0327,G#min,0.66305,2.4607643425321295,-1.6156938999499604,0.7967647781427649
morfonica,185,fly with the night,240.7,0.8546,2802.11774,5827.35921,0.02607,23.25205,1.14747,0.12089,0.26165,112.34715,0.1377,Amaj,0.37049,2.4098019495541436,0.10350945740177944,0.1540846170550435
morfonica,187,The Circle Of Butterflies,258.8,0.69833,2333.28483,4888.42044,0.0207,22.19743,1.2354,0.11268,0.27966,117.45384,0.36125,Bmaj,0.23839,0.5344098977655876,0.8797836011882327,-0.35212172193761027
morfonica,192,Ever Sky Blue,241.1,0.84902,2780.34289,5716.88765,0.02745,22.59369,1.24054,0.11654,0.30258,129.19922,-0.14495,G#min,0.32405,2.2149364558256037,0.37641007237106694,0.6276726587178998
morfonica,198,Steer to Utopia,216.3,0.82636,2872.9876,5486.61127,0.03317,22.12958,1.15123,0.13874,0.35367,129.19922,-0.11388,G#min,0.45356,1.4141685301052926,-0.3846441620103379,0.22492247630552975
morfonica,203,One step at a time,263.7,0.84329,2913.30697,6061.74112,0.03038,22.82749,1.24182,0.12161,0.34106,172.26562,0.18118,Emaj,0.59598,1.891721106929405,-1.221562886901077,1.6246062315454206
morfonica,204,Tempest,252.2,0.84156,2774.54952,5723.7765,0.02842,22.21265,1.30479,0.1152,0.3066,135.99918,-0.03959,Amin,0.52064,2.0256155470662964,-0.7788339391881977,0.6368210824671132
morfonica,214,Color of Us,233.7,0.85501,2565.68467,5241.66275,0.01956,23.23943,1.24504,0.10912,0.29955,129.19922,0.13674,G#maj,0.45924,2.945615937641567,-0.4180221872692859,1.4980803340739128
morfonica,215,Resonant Strings,240.4,0.74599,3065.266,6580.13799,0.05124,21.45383,1.22389,0.14451,0.31136,129.19922,-0.13526,Amin,0.50052,-1.2455243296614773,-0.6606005116864303,-0.9124445397543344
morfonica,216,Shining Leaves,218.0,0.86753,2753.19832,5607.64387,0.02471,22.77897,1.21505,0.1145,0.34003,123.04688,0.0364,Dmaj,0.4195,2.711800031411245,-0.18449353871460267,1.346182160725038
morfonica,219,QUEEN (Cover),145.8,0.85468,2782.08119,5747.1708,0.02605,22.5211,1.26814,0.11731,0.34248,112.34715,-0.1573,Gmin,0.53664,2.412613219936441,-0.872856545551432,1.4172290684659858
morfonica,220,again (Cover),250.8,0.8196,2512.61521,5184.48532,0.02127,22.63738,1.36748,0.1021,0.3249,143.55469,-0.09536,Amin,0.67492,2.2824937684537643,-1.6854469210456844,1.992447773735519
morfonica,222,メロウ (Cover),249.2,0.80958,2640.5675,5340.12326,0.02439,22.89973,1.29061,0.11739,0.2897,143.55469,-0.09287,A#min,0.24458,1.8803369201662077,0.8434086053514565,1.1892188798190448
morfonica,225,かくれんぼ (Cover),298.7,0.84191,2554.01654,5057.45275,0.02289,22.08464,1.24501,0.11146,0.37226,123.04688,-0.09798,A#min,0.44685,2.4807948226057936,-0.3452134314667566,1.1630499661159457
mugendai_mutype,239,みゅーたんとミュータント,220.3,0.70183,2553.07745,5859.15346,0.0212,21.96209,2.20821,0.09045,0.27971,151.99908,-0.02238,F#min,0.07534,0.5455132286266877,1.8379327241585672,6.364129626924176
mugendai_mutype,240,チューニング,196.0,0.7963,2477.85925,5309.66789,0.02957,22.04648,1.10005,0.11091,0.21446,99.38401,0.15002,G#maj,0.30547,1.2623097225537137,0.4855938240103727,-2.6670552913018777
mugendai_mutype,242,グラディエント,201.0,0.67182,2004.66125,4405.87336,0.01209,23.06389,1.41771,0.07278,0.20188,117.45384,0.08556,Gmaj,0.12126,0.8427670226155656,1.5680878438960848,0.8168319809220386
mugendai_mutype,244,真夜中遊園地,230.0,0.7927,3237.88983,7073.40723,0.05298,20.76517,1.27487,0.13834,0.29447,129.19922,-0.2424,Dmin,0.59907,-0.6959343433281123,-1.2397210027549768,-1.784968207322494
mugendai_mutype,245,テレパシー,254.0,0.77229,1784.32453,3817.18803,0.00967,23.0358,1.58912,0.06353,0.17775,89.10291,0.19554,Cmaj,0.37822,2.5263766223460697,0.058084785702541775,1.6013055036690687
mugendai_mutype,246,TRASH LIFE,213.0,0.73102,2947.09152,6421.73339,0.04454,21.06629,1.49244,0.1241,0.19669,117.45384,0.27601,A#maj,0.26264,-0.921831520097715,0.7372805884189557,-1.486059521861783
mugendai_mutype,247,新人類は仮想世界の夢を見るか?,234.0,0.70863,3198.43427,6895.83608,0.05991,21.03502,1.41047,0.14338,0.2619,89.10291,-0.14085,Emin,0.1677,-2.5038667753549717,1.2951872289267974,-0.9948232528294365
mugendai_mutype,249,Calling,182.2,0.79459,2755.63642,6376.52255,0.03038,20.82189,1.35846,0.09761,0.34547,117.45384,-0.07882,Dmin,0.23839,1.1710931244961895,0.8797836011882327,-0.22003737648556054
mugendai_mutype,250,Hi-Vision,180.5,0.68278,2854.12038,6146.31283,0.0429,21.50893,1.42797,0.12202,0.22379,103.35938,0.06349,Dmaj,0.3452,-1.5021987951012843,0.25212393958466656,-0.8737885679535264
mugendai_mutype,251,コハク,220.0,0.83421,2761.42294,5993.97487,0.03134,21.70595,1.23142,0.11802,0.18089,129.19922,0.2072,Dmaj,0.55624,1.679242333344017,-0.9880342383463938,-2.766297628569737
mugendai_mutype,252,✞animaるパーティ✞開催中✞,177.0,0.75661,2840.55519,5974.30832,0.04453,21.23583,1.34735,0.13208,0.2835,99.38401,-0.0333,Dmin,0.20433,-0.5423551466895501,1.0799342244839676,-0.8012751348765071
mugendai_mutype,254,限界現実サバイブ天使,196.0,0.74851,3144.84413,6644.4876,0.05004,21.60175,1.29208,0.14681,0.2504,123.04688,0.32356,Amaj,0.37616,-1.1105859260244095,0.07019019627180823,-1.269098695855146
mugendai_mutype,255,ビッグマウス,173.0,0.69885,2972.49767,6664.89859,0.04564,20.60709,1.50704,0.12658,0.28118,143.55469,0.19132,G#maj,0.2838,-1.4873721112918417,0.6129356915035783,-0.5525750209572982
mugendai_mutype,257,やわやわNERD 超FreQuency,187.6,0.63081,3227.3083,6737.05371,0.06322,20.67965,1.41099,0.1631,0.29399,143.55469,-0.20598,F#min,0.10939,-3.9247409580304686,1.6378408649918095,-0.9261224567836763
mugendai_mutype,259,これはぼくたちの生存のあらすじ,234.8,0.66123,2890.01414,6024.08024,0.04563,20.85051,1.42318,0.13843,0.31908,129.19922,-0.11212,Fmin,0.14964,-2.043232386130157,1.4013152458592981,-0.1685314569008982
mygo,264,歌いましょう鳴らしましょう,176.5,0.66163,2786.96206,5536.15541,0.04078,21.10473,1.15361,0.14226,0.38569,112.34715,-0.0918,Emin,0.06863,-1.6426478125961634,1.877363454702149,-0.617089553558062
mygo,267,春日影 (MyGO!!!!! ver.),256.6,0.83456,1948.24481,4139.11386,0.0095,23.17642,1.09996,0.07131,0.36028,95.70312,0.38816,Bmaj,0.66047,3.4616374603915263,-1.6005327546738886,1.4113949098865048
mygo,270,無路矢,222.9,0.84668,2391.51474,5059.59718,0.01976,22.17894,1.02304,0.09739,0.43717,123.04688,-0.15543,Emin,0.3968,2.806079646391033,-0.051098965936763996,0.8090896818849467
mygo,275,孤壊牢,215.6,0.79906,2395.0099,5071.75267,0.02285,21.14179,1.11782,0.09575,0.43981,123.04688,-0.17242,Emin,0.53251,1.8499859562974383,-0.8485869602839223,0.11077982862108793
mygo,277,端程山,261.0,0.75291,2428.24796,5044.73616,0.02272,21.07064,1.11241,0.09726,0.43469,117.45384,-0.24501,C#min,0.48297,1.1776697283581776,-0.557469465331758,-0.11498802263550556
mygo,280,夜隠染,201.0,0.84117,2330.78526,4989.59205,0.01916,21.87934,1.10525,0.09487,0.39657,112.34715,0.28157,A#maj,0.53818,2.773371200548933,-0.8819062214138933,0.28896950703990676
mygo,282,回層浮,261.2,0.73236,2342.6814,4994.66424,0.01977,21.63149,1.2087,0.09785,0.38728,99.38401,-0.00888,G#min,0.48968,1.1136398051943828,-0.5969001958753393,0.5352718292863873
mygo,284,焚音打,242.9,0.69686,2397.13981,5147.95776,0.02603,20.6955,1.19515,0.10481,0.41619,129.19922,-0.07743,C#min,0.51342,0.07893253084841334,-0.7364062380667882,-0.3532886878283503
mygo,289,静降想,278.2,0.78802,2824.25359,6034.00796,0.03668,21.97635,1.12951,0.12096,0.39531,123.04688,0.3167,A#maj,0.66718,0.5612164512538447,-1.63996348521747,0.5764834858338739
mygo,291,往欄印,298.1,0.78651,2935.31177,6133.47958,0.04561,21.64782,1.07469,0.13555,0.39313,117.45384,0.06488,D#maj,0.52322,-0.1878005120386459,-0.7939950844642694,-0.3108405232011362
mygo,293,遥か彼方 (Cover),249.2,0.77499,2788.36677,6069.62441,0.0363,21.71352,1.25325,0.12119,0.30892,172.26562,0.07072,Amaj,0.48555,0.39933003113754906,-0.5726306106078293,-0.3841521257322037
mygo,294,雑踏、僕らの街 (Cover),188.2,0.68314,2626.55582,5673.83236,0.02908,21.79883,1.3681,0.10996,0.28187,112.34715,-0.16462,Emin,0.61404,-0.37227808198578877,-1.3276909038335782,0.09686675107842968
mygo,297,ノンブレス・オブリージュ (Cover),207.3,0.70232,2453.52333,5352.75097,0.02529,21.44899,1.2871,0.10691,0.36146,143.55469,0.10907,Cmaj,0.45511,0.21994275791093337,-0.39375260200177625,0.4045745807598897
mygo,298,swim (Cover),209.5,0.75026,2725.90667,5648.49362,0.031,21.36821,1.10929,0.12088,0.4397,129.19922,0.15087,Emaj,0.37822,0.4646771910057491,0.058084785702541775,0.3592981864297826
mygo,300,春日影,123.0,0.81985,1755.83686,3859.74888,0.00643,23.75269,1.13259,0.05587,0.05346,95.70312,0.22618,Bmaj,0.70382,3.4937886294566702,-1.8552752537892767,-2.863161351441099
pastel_palettes,305,あっつあつ 常夏 らぶ☆サマー！,246.9,0.73437,3010.52052,6291.51196,0.04256,22.76768,1.39079,0.1489,0.27871,112.34715,0.05559,Fmaj,0.26471,-0.7111393637434938,0.7251164137207122,1.542108155189943
pastel_palettes,308,Power of LOVE!!!,231.7,0.69628,2863.38245,5667.16573,0.0384,22.89759,1.24045,0.16342,0.28213,117.45384,0.08162,Dmaj,0.1001,-0.936250760335902,1.6924327408114626,0.6923900205484472
pastel_palettes,309,きゅ～まい＊flower,220.6,0.70346,3083.10949,6376.47811,0.05096,22.31406,1.2058,0.16507,0.29045,123.04688,-0.09488,Gmin,0.0774,-1.852068216449148,1.8258273135893008,-0.21896863585610876
pastel_palettes,326,気まぐれロマンティック,243.8,0.77564,2275.21294,4973.25326,0.01933,22.76484,1.23601,0.09386,0.27416,112.34715,0.23163,Amaj,0.65996,1.7898711998190344,-1.5975357840960605,0.3394396740978825
pastel_palettes,328,ラムのラブソング,162.4,0.64854,2645.84781,5806.84822,0.02301,23.12979,1.68657,0.10586,0.22212,117.45384,-0.03736,Emin,0.52993,-0.39032190711187376,-0.8334258150078507,3.2032792854032435
pastel_palettes,330,DISCOTHEQUE,243.3,0.66127,2842.68631,5833.31473,0.0384,22.23899,1.36066,0.14663,0.27045,143.55469,0.20374,Amaj,0.42982,-1.454303854072799,-0.24513811981888878,0.45238216592273384
pastel_palettes,332,SAKURAスキップ,228.8,0.67021,2788.62163,5720.6543,0.03674,21.86424,1.19822,0.14601,0.27675,112.34715,0.301,Fmaj,0.33591,-1.1869346472580025,0.3067158154043196,-1.1308388259195532
pastel_palettes,335,トリドリ＊パレット,252.2,0.7788,2594.04183,5322.86781,0.028,21.93446,1.15316,0.12359,0.32365,117.45384,-0.05077,Emin,0.50464,1.1311149111726444,-0.6848113328249632,-0.5491766452481988
pastel_palettes,341,フレっとパレットFight Song!!,242.0,0.8651,2960.03818,6298.16192,0.03242,22.65897,1.30639,0.1205,0.33157,143.55469,0.13854,Gmaj,0.28741,2.048446284270257,0.5917218409428736,1.6954579651121358
pastel_palettes,342,デイオフ・ラフ・ラブ・サンクス,243.7,0.80527,3045.1403,6559.177,0.0415,22.80266,1.26032,0.14958,0.27817,143.55469,-0.02159,Gmin,0.21053,0.4242452623909214,1.0435004645182144,0.6368368491562255
pastel_palettes,352,♡桃色片想い♡ (Cover),257.6,0.66726,3035.93887,6249.37888,0.05267,21.87589,1.27612,0.15672,0.29811,151.99908,0.11116,Emaj,0.58514,-2.5268802440788853,-1.157862571089986,-0.18171665883254454
pastel_palettes,357,みくみくにしてあげる♪【してやんよ】 (Cover),103.5,0.75069,3092.2341,6524.67721,0.05713,21.68667,1.22694,0.15733,0.26416,107.66602,0.16631,Fmaj,0.73787,-1.6552720653884547,-2.0553671129560347,-1.3854969310427536
pastel_palettes,366,惑星ループ (Cover),206.8,0.69769,2675.31877,5593.12173,0.02775,22.56815,1.42371,0.12589,0.25923,172.26562,-0.15844,Fmin,0.41125,-0.04874962255154164,-0.1360131323085601,1.1684358735702127
pastel_palettes,370,Make it! (Cover),252.4,0.72598,3070.859,6348.38939,0.0444,22.03835,1.25829,0.148,0.31245,172.26562,-0.15349,Emin,0.31424,-0.9850174467568702,0.4340576828975249,0.1611757427398475
pastel_palettes,374,ノスタルジックレインフォール (Cover),237.0,0.75499,2690.85647,5465.70028,0.02856,22.93373,1.20452,0.13822,0.25345,112.34715,0.36302,Gmaj,0.19556,0.7332218131359878,1.1314703655968155,-0.01369596092885561
poppin_party,392,最高(さあ行こう)！,228.9,0.72208,2996.35304,6097.34091,0.0506,21.83501,1.25295,0.15101,0.27492,123.04688,0.09693,Emaj,0.47988,-1.5472479216786224,-0.5393113494778581,-0.8067192500668395
poppin_party,393,ガールズコード,325.2,0.7366,2567.03493,5211.95737,0.02947,22.06372,1.18331,0.12755,0.3225,123.04688,0.07917,Emaj,0.43344,0.3870489955281106,-0.2664107345085706,-0.1726764467368534
poppin_party,403,White Afternoon,300.0,0.79936,2569.11806,5400.28401,0.02557,22.33577,1.20298,0.11075,0.27827,143.55469,0.1533,Cmaj,0.63519,1.633086877192126,-1.4519770366199787,-0.4200471712392518
poppin_party,406,Dreamers Go!,258.0,0.73236,2649.57527,5464.67251,0.02995,22.02046,1.28476,0.12493,0.27568,123.04688,0.01624,Emaj,0.5614,0.28524879548551785,-1.0183565288985372,-0.3077159791829102
poppin_party,408,ミライトレイン,355.7,0.81774,2361.69438,4977.35324,0.02254,22.36864,1.11227,0.1049,0.26977,117.45384,0.30299,Dmaj,0.65119,2.1516253702956414,-1.545999642983213,-1.1781346845620533
poppin_party,421,アニバーサリー,273.8,0.69846,2676.01567,5445.87818,0.03242,21.96233,1.22246,0.13309,0.29624,112.34715,0.12873,Fmaj,0.30444,-0.4173739825197056,0.4916465292950061,-0.4831976494837881
poppin_party,426,Photograph,258.1,0.72201,2676.29206,5564.40524,0.03003,22.37873,1.24711,0.1251,0.29571,99.38401,0.17073,G#maj,0.20175,0.12558690361125363,1.0950953697600392,0.26008020892571404
poppin_party,429,星の約束,245.1,0.67985,2656.80009,5597.34393,0.03233,22.0054,1.24182,0.12457,0.31685,117.45384,-0.07397,Dmin,0.13932,-0.6854278412974808,1.4619598269635843,0.072642574217579
poppin_party,433,花咲く未来に,276.1,0.72352,2937.32541,6091.18539,0.03962,21.89743,1.26268,0.14116,0.34776,143.55469,0.23123,Bmaj,0.28173,-0.6324493256117938,0.6250998662018219,0.6092047194804328
poppin_party,443,最強☆ソング,255.1,0.60908,2767.55259,5834.76472,0.04066,21.10387,1.19405,0.13209,0.3532,123.04688,0.13248,Dmaj,0.12332,-2.4104804348287354,1.5559824333268186,-0.887403632793643
poppin_party,446,とっておきAnswer,196.8,0.77822,2553.48796,5351.63431,0.02566,22.14522,1.20886,0.11553,0.32962,95.70312,0.38526,Cmaj,0.52786,1.3129484915813938,-0.8212616403096071,0.24768671627451277
poppin_party,449,チョコレイトの低音レシピ,271.0,0.75601,2634.39295,5568.19966,0.0268,22.56387,1.36802,0.11028,0.24581,95.70312,-0.06281,Dmin,0.66512,0.891533925992777,-1.6278580746482039,0.5274875067752234
poppin_party,457,ほな！,227.2,0.72964,2729.04975,5634.81037,0.03453,21.99386,1.41811,0.13014,0.3218,123.04688,-0.01422,Bmin,0.44995,-0.12769441105528273,-0.36343031144963317,1.418061885704169
poppin_party,470,トウキョウ・シャンディ・ランデヴ (Cover),186.9,0.46695,2806.24983,5941.18074,0.03286,21.98177,1.6529,0.11942,0.28406,135.99918,-0.0942,Emin,0.21362,-3.8788991170499902,1.0253423486643147,2.4479217843514176
